Trade Date,Settle,Maturity Date,Maturity_Settle
2017-12-27,10.775,2018-01-03,9.73
2018-01-04,10.2,2018-01-10,10.29
2018-01-18,11.75,2018-01-24,11.33
2018-01-25,11.6,2018-01-31,14.43
2018-02-01,13.25,2018-02-07,29.63
2018-02-14,18.5,2018-02-21,19.89
2018-02-21,19.45,2018-02-27,16.4
2018-03-01,21.325,2018-03-07,20.27
2018-03-08,16.775,2018-03-14,16.01
2018-03-22,21.6,2018-03-28,22.59
2018-03-28,21.775,2018-04-04,24.19
2018-04-05,19.075,2018-04-11,20.85
2018-04-19,16.35,2018-04-25,18.43
2018-04-26,16.6,2018-05-02,15.35
2018-05-03,16.325,2018-05-09,14.41
2018-05-17,14.1,2018-05-23,14.37
2018-05-31,15.35,2018-06-06,12.12
2018-06-07,13.1,2018-06-13,12.25
2018-06-21,14.275,2018-06-27,16.01
2018-06-27,17.325,2018-07-03,15.36
2018-07-05,15.3,2018-07-11,13.66
2018-07-19,13.225,2018-07-25,12.9
2018-07-26,12.85,2018-08-01,12.68
2018-08-02,13.05,2018-08-08,10.91
2018-08-09,12.0,2018-08-15,14.55
2018-08-23,13.125,2018-08-29,12.28
2018-08-29,13.425,2018-09-05,13.81
2018-09-06,14.85,2018-09-12,13.56
2018-09-20,12.8,2018-09-26,12.3
2018-09-27,12.75,2018-10-03,11.4
2018-10-04,14.575,2018-10-10,17.05
2018-10-18,19.075,2018-10-24,21.14
2018-10-25,22.075,2018-10-31,22.31
2018-11-01,19.3,2018-11-07,17.4
2018-11-08,16.95,2018-11-14,19.67
2018-11-21,20.8,2018-11-28,18.77
2018-11-29,18.375,2018-12-05,24.6
2018-12-06,20.275,2018-12-12,20.86
2018-12-19,24.225,2018-12-26,35.13
2018-12-26,28.7,2019-01-02,28.09
2019-01-03,25.1,2019-01-09,20.09
2019-01-16,19.075,2019-01-23,19.87
2019-01-24,19.1,2019-01-30,18.86
2019-01-31,16.925,2019-02-06,15.4
2019-02-13,16.25,2019-02-20,15.19
2019-02-21,15.35,2019-02-27,15.85
2019-02-28,15.375,2019-03-06,15.18
2019-03-07,16.95,2019-03-13,13.84
2019-03-21,14.225,2019-03-27,14.81
2019-03-28,15.05,2019-04-03,13.12
2019-04-04,14.325,2019-04-10,13.92
2019-04-17,13.425,2019-04-24,12.63
2019-04-25,13.475,2019-05-01,13.18
2019-05-02,14.7,2019-05-08,20.08
2019-05-09,18.25,2019-05-15,19.36
2019-05-22,15.675,2019-05-29,18.22
2019-05-30,17.65,2019-06-05,16.97
2019-06-06,16.3,2019-06-12,16.27
2019-06-20,15.25,2019-06-26,15.99
2019-06-27,15.65,2019-07-03,13.01
2019-07-03,13.575,2019-07-10,13.64
2019-07-18,14.025,2019-07-24,13.01
2019-07-25,13.675,2019-07-31,13.87
2019-08-01,17.125,2019-08-07,22.59
2019-08-08,17.125,2019-08-14,21.01
2019-08-22,17.0,2019-08-28,21.13
2019-08-28,19.525,2019-09-04,18.36
2019-09-05,16.75,2019-09-11,15.27
2019-09-19,14.65,2019-09-25,17.06
2019-09-26,17.025,2019-10-02,19.45
2019-10-03,19.35,2019-10-09,19.48
2019-10-17,14.75,2019-10-23,14.69
2019-10-24,14.525,2019-10-30,13.25
2019-10-31,14.375,2019-11-06,13.15
2019-11-07,13.85,2019-11-13,13.18
2019-11-21,13.8,2019-11-27,11.69
2019-11-27,12.95,2019-12-04,15.0
2019-12-05,14.925,2019-12-11,15.81
2019-12-16,15.1,2019-12-20,15.0
2019-12-16,14.475,2019-12-20,14.475
2019-12-16,14.025,2019-12-20,14.025
2019-12-16,13.45,2019-12-20,13.65
2019-12-16,12.775,2019-12-20,13.175
